0	0	55874
194421	1105	6211
196645	1222	17069
211584	3	108695
142114	47	27
196645	3745	848
211661	4	71
202813	6	40
196645	4104	1466
196645	2218	10177
157600	3	1
187537	170787	1155
187537	173579	348
197671	6165	68207
197671	9533	1742
187537	136659	28
187537	159619	46574
209969	1589	4871
187537	163142	893
187537	147566	280
187537	145982	1368
170627	1519	3
204243	3916	14432
214277	11	24
187537	177358	13
187537	175212	1
187537	168260	4981
197671	12122	354
197671	4722	17811
187537	139188	743
187537	157156	187
187537	153804	441
187537	143449	940
204243	1323	37
214991	443	4
187537	164737	2784
197671	12787	14827
187537	167917	1871
187537	176837	105
187537	149093	402
187537	131357	475
204243	2375	360
187537	136152	8165
187537	158088	33916
187537	152736	563
187537	172032	1531
187537	171304	4577
166930	1643	3630
197671	9014	2639
187537	178338	416
187537	165258	2323
187537	160042	35095
187537	134010	45
204243	4581	99
187537	140439	153
187537	156655	34
187537	169807	1250
187537	174695	68
164914	2377	45
203731	24743	4
130420	126	387
203731	10207	45
187544	26952	208
203731	2098	27
187544	18085	3401
187537	107861	7778
187537	122629	133
187537	123437	853
203731	29282	3
203731	41800	8
187544	9303	1558
187537	116647	544
187537	129679	1039
187544	6527	2
203731	4240	83
187537	114167	862
191840	685	3
187544	19650	905
191840	4200	2293
187537	110386	36405
215626	74	1
187537	102938	394
203731	597	11303
190878	38	3506
203731	30725	2
187537	120162	1093
201908	227	247
194575	255	2690
187537	74178	951
187537	72938	162
164914	4587	1346
203731	63221	1
203731	48609	3
203731	32969	13
187544	16558	1755
187537	107358	3718
187544	2006	1
187537	123942	418
201908	3215	77
187537	121102	3276
187544	10299	2
187537	117707	53
187544	28483	2195
187537	101555	2942
203731	7420	48
187537	111003	18299
203731	8660	19
187544	21099	9361
191840	3777	228
203731	37388	1
187537	66115	2
203731	44836	4
152529	0	411
187537	103441	165
187537	108857	4288
203731	14710	3
201908	1768	215
187544	3505	150
187537	126529	5067
187537	115116	1283
187537	113660	4
187544	22540	280
191840	1190	4280
187544	25892	724
203731	57107	4
154925	58	3704
187537	8153	512
187537	22689	285
196325	864	47
178690	2	3
187537	60281	4
187537	50324	66
187537	63932	352
187537	19044	239
187537	30540	3911
187537	3356	123
187537	12340	939
159464	3	5
187537	42598	2092
187537	62427	15160
202893	90	489
187537	13887	153
197332	0	1221
187537	49823	107
187537	53338	7004
187537	6610	12946
187537	368	7422
199025	628	3
187537	51448	1409
187537	62928	1443
187537	5045	7025
215928	434	644
187537	21709	4
154079728	0	1
197671	7070	15262
197671	9910	1567
166930	1003	893
187537	170152	3476
187537	173440	790
187537	151840	667
209969	1470	2
187537	158728	21655
187537	136792	112
204243	3271	739
170627	1636	9
187537	145845	75
168309	0	583
202856	8	15
187537	163533	3381
187537	148453	53
187537	177989	909
187537	166509	975
160581	121	5
197671	13427	47
183015	3	4
197671	11473	605
187537	168655	3197
187537	157295	135
154667	7	1
187537	154439	123
187537	139543	416
187537	138303	491
197214	0	3284
187537	134906	836
204243	1696	903
187537	149890	1
187537	160938	11435
187537	163850	742
203993	33	17
187537	167014	1790
187537	176462	309
197671	12920	13
187537	131734	1283
187537	161990	2603903
187537	158211	213
187537	153387	932
187537	142715	90
197671	8381	4
187537	172939	304
187537	171683	1232
168557	0	25
196934	0	27
187537	165377	1457
214991	1083	21
187537	133361	2
187537	154956	34
187537	155748	33082
187537	137780	754
187537	141084	1596
174716	3	478
197671	6130	1687335
197671	10970	4093
187537	169156	4047
187537	174572	36
135549	5	108
196645	3370	901
215201	43	36
196645	326	4201
196645	4995	874
117609	1	92
216080	2	22801
196246	0	21131
187537	23338	1213
187537	7250	4507
187537	59634	1396
187537	54746	818
196325	235	23
204490	1	6
187537	48463	2159
187537	64055	343
187537	3735	948
187537	20813	100
187537	27749	113
212770	3	20
187537	11037	2214
187537	46888	125
210479	3	2931
160580	211	2
187537	52600	2512
187537	1264	641
187537	32416	1586
187537	13748	346
187537	2204	1472
187537	20452	17
187537	34412	5191
187537	49428	496
187537	43393	1263
187537	24585	11
187537	763	5671
187537	17795	69
187537	63067	214
187537	11542	155
204317	8	104
187537	4158	3
203731	38796	10
203731	53492	6
187544	22507	444
203731	9300	2
203731	6524	21
203731	25388	86
187537	118347	62
201908	2319	2043
187537	123302	47
187537	108254	3689
187544	17710	12539
203731	49713	2
187537	69028	9891
203731	40427	19
203731	55955	14
203731	59323	19
164914	165	3
203731	4891	18
187544	24740	1
188086	4688	53
187544	23948	850
191840	294	91
203731	11827	40
187537	114300	565
187537	115756	3199
187537	125889	123
187537	120553	1287
203731	18086	20
187537	102801	3508
203731	62846	5
164914	4704	142
215421	2	2
203731	50234	2
187537	77349	222
187537	124845	138
187544	1117	63
187537	121477	1674
203731	19146	9
187537	106709	5
187537	105981	8913
203731	3506	57
187537	102200	3
188086	7740	62
187544	27848	738
191840	3402	921
187537	111120	420
187537	116800	1048
188999	1	1300
203731	25895	4
203731	62325	5
164914	5227	2
187537	72042	142
203731	35109	62
187537	74818	2512
187537	119010	17363
201908	1379	4540
203731	2005	50
203731	15101	7
187544	18754	651
187537	112759	2784
203731	5392	40
211466	3	21227
187544	7423	3
187537	130831	96
187537	115239	427
187537	68527	19937
203731	39904	6
187537	3195	38053
187537	12627	6
187537	19203	69
187537	50675	541
187537	63707	25
187537	59934	263
187537	44390	274
187537	22982	6206
187537	9110	11
187537	1564	37778
187537	16740	33
187537	62140	533
187537	39465	1647
187537	42753	9
187537	21409	365
187537	28297	1292
187537	5337	13706
187537	10737	2226
187537	24525	558
187537	25317	187122
187537	6325	553
213853	10	11030
187537	47528	1824
187537	65232	116
187537	50168	20
187537	14168	2343
215928	213	17460
187537	21930	92
187537	56154	73
187537	23	255
188086	20326	142
187537	122466	2
201908	3043	11110
187537	123722	113
203731	13437	1
187544	18370	547
187544	21767	238
191840	2477	520
187537	112375	129
187537	101343	950
187544	26671	891
130420	281	70
187537	127375	316
203731	25024	33
204828	23	670
203731	36290	20
187537	125229	11
194575	408	91
187537	110165	7385
188086	16209	5
191840	4367	385
187537	103293	452
203731	4599	40
191840	970	28
187537	113808	3101
165046	91	27607
187537	69448	750
203731	41519	4
192785	18	32
203731	59707	4
187537	110844	510
187537	117420	1163
187544	10588	3
187537	128900	18
187537	124225	3176
187537	120937	1291
187537	107065	4976
187544	16841	8725
187537	106257	10722
203731	3934	4
203731	50902	6
203731	48262	4
203731	33198	54
187537	85563	6314
191840	1473	49
187537	113307	462
94027	0	70802
203731	6140	94
187544	7699	8
187537	130531	730
187537	114891	2608
188086	20943	59
187544	9019	26
188086	17162	5209
187537	119310	763
187537	126758	2651
187537	103798	67
187544	19374	1281
187537	75438	600
187537	177577	1191
187537	166017	1907
187537	146265	16
187537	162849	4876
187537	147721	515
160211	13	241
187537	159460	7725
197671	6514	7991
197671	9306	2236
187537	170564	6360
187537	164582	1661
214991	220	10907
187537	134166	105
187537	143678	22
187537	161350	4980
66944	0	128
187537	138963	396
135760	13	10291
197671	11837	731
197671	4885	443954
187537	175371	777
187537	167971	4393
197671	8057	3404
187537	172391	10
187537	171087	1109
187537	143255	615
187537	135871	192
93206	0	5
204243	2080	170
187537	146770	152
187537	149250	1026
187537	162346	70652
187537	167562	1424
187537	177058	1164
197671	12436	59595
197671	5406	1038617
197671	10294	2929
187537	169512	3917
187537	174848	1781
187537	155552	81
187537	140784	225
187537	133661	450
187537	159821	54739
187537	150885	9780
187537	165101	2114
214991	1751	577
191469	0	263
196645	4038	2351
196645	4463	983
196645	938	4624
190709	0	18735
196645	2509	33698
187537	105105	346
187537	108473	4014
203731	19878	2
187537	123073	510
203731	25163	2
187537	127492	1238
187537	118572	631
187537	111996	2618
187544	27556	2
203731	6171	9
203731	60603	9
164914	2981	4
187537	74542	5698957
203680	82	16
164914	4871	1
191840	4740	218
187537	110046	1033
187537	102646	4979
203731	185	107574
188086	498	89
203731	31465	31
187537	120718	4026
187537	125606	2337
187544	13438	818
188086	21583	264
187537	116043	28291
187537	129123	107
187537	114459	4077
187544	23787	1019
203731	56308	42
203731	40076	4
187537	78315	62
203731	55192	4
203731	37088	28
203731	44488	2
187537	117031	367
187537	128015	550
203731	22888	60
187537	101983	17608
187537	111479	8
191840	3117	9
187544	16962	2
187537	106930	6960
187537	105626	4176
203731	3285	61
203731	12797	19
119354	28	33
216066	69	135
187537	121826	1031
187537	70250	2360
187537	130664	60434
203731	21263	9
187537	112912	1518
187544	23264	449
107481	32	15052
191840	1610	2
187544	26568	3
92596	0	39
203731	5239	2
203731	1714	100
187544	18469	3
201908	1028	18263
187537	126125	144
203731	31970	2
187537	71693	30609
203731	34882	2
203731	46442	10
187537	18568	1703
187537	30112	284
187537	4080	2208
187537	13016	118
130732	42	16499
187537	48168	252
187537	59797	7360
187537	26469	4032
187537	17135	979
187537	46671	244
187537	35687	5497
198430	1	693
187537	5970	369
187537	10874	404
187537	23622	1467
158575	5	2
187537	38350	1489
187537	61342	4
187537	49267	528
187537	29611	78
187537	20099	45
187537	2555	6749
215679	66	528
187537	11377	2006
93190	14	10731
187537	41601	167
201970	0	252
187537	63292	7708
187537	36204	2952
187537	45124	218
187537	17636	380
187537	924	14
199025	152	42
196645	1578	29847
196645	5359	1286
194421	182	12102
141718	14	12924
202671	0	2
127768	4	47
208943	17	914
197671	13588	8482
187537	177698	10
187537	166666	5630
187537	163754	2657
187537	145618	548
170627	1795	6
204243	3488	625
187537	132602	1343
187537	137023	10
187537	151623	150
187537	159087	31814
209969	1241	196
187537	170447	438
187537	173287	737
110063	0	494
197671	6905	179
188975	0	2
214991	855	660
187537	164205	35
187537	149733	377
187537	161229	5378
187537	135069	158
187537	144053	3
187537	139376	569
187537	138584	1
209969	3774	548
187537	157448	1127
187537	154144	405
187537	175744	149
187537	168872	281
197671	11702	12647
187537	172780	1034
187537	171972	1635
166930	1159	290
197671	8666	369
197671	7410	11183
187537	142364	49
187537	135476	669
187537	158564	637
209969	722	363
216165	16	36843
187537	162209	108170
213760	3	176
197671	13087	451
187537	167169	7591
187537	176169	6758
187537	169379	11579
197671	5781	4014
197671	11197	985
187537	138067	736
204243	4873	65
187537	154667	672
209969	2229	121
187537	155907	392
187537	160710	1447035
187537	151278	267
187537	144574	48
204243	460	11524
187537	133526	6
214991	1372	455
187537	165734	1707
187537	1598	6589
187537	15126	735
187537	46566	141
187537	28331	76
187537	5371	810
187537	3161	231
105373	15	6
187537	19233	4
187537	63737	261
187537	44356	148
187537	9140	862
215928	247	7410
187537	58960	3275
187537	39936	34
187537	36549	621
187537	53	401654
93167	31	832
210134	7	6
187537	18253	8
187537	24559	3989
187537	9663	18877
187537	6295	72
187537	53535	250
187537	43855	1336
101363	0	92419
187537	50138	48
187537	2642	4111
216009	1	41163
187537	73135	1329
194575	442	98
187537	119847	27058
201908	422	49606
187544	2815	6
203731	784	46
187537	103263	15236
187544	28847	56
191840	4397	73
187544	19847	728
187537	113842	2378
191840	1000	43
209940	26	12
187537	129994	15
187537	116450	20931
187537	69482	2574
164914	619	4
126296	0	186295
203731	47791	12
187537	71624	796
203731	34695	49
187537	122432	152
201908	3009	2139
187544	18400	3
187537	107536	54
203731	2423	4
187537	104760	20
187544	26637	2
187537	101373	10279
203731	9882	10
203731	7090	4
211134	0	789473
191840	2447	2
187544	21797	2
203731	23754	7
187537	117893	4
203731	25058	20
187537	127405	1082
130420	315	69
187537	66829	844
187537	85529	1709
203731	56918	2
187537	113337	71606
191840	1507	854
187544	8985	125
187537	114921	453
203731	28046	15
187537	130497	7
203731	20646	1
187537	119340	15374
187544	19340	4
203731	1307	2
187537	66310	3425
110709	25	63138
187537	110814	2128
187544	21294	572
191840	3972	118
96792	57	20
187537	101878	898
187544	10622	2
187537	117390	2988
187537	120907	2894
187537	124259	960
203731	3964	8
187544	16875	13
187537	107035	20155
172493	7	4897
187537	70083	2837
187537	164548	1038
187537	143644	80
187537	161380	682663
187537	150348	1670
187537	153993	14
187537	156833	431
171470	507	1
135760	47	556
197671	4919	15295
215982	84	46
187537	167937	7844
187537	175401	973
187537	166051	1136
187537	177547	334
